"Age","Gender_of_partner","desire","partner_respo","attachment_anxious","attachment_avoidant","Rel_length","intimacy_lb","intimacy_m","intimacy_ub"
27,"male",8,8.84071258050127,13,5,10,3.09805131265941,3.77257007014989,4.3279446543961
51,"male",6,13.2610688707519,11,9,29,2.38531423066953,3.13330265732335,3.85272951232537
35,"male",2,15.0292113868522,13,9,12,2.94629169187435,3.64677790246802,4.23791099147082
34,"male",9,15.9132826449023,8,7,9,3.95219527907281,4.36157564792909,4.6922930419966
39,"female",11,11.4929263546517,11,9,10,2.75612697413793,3.48210916274945,4.11810397004202
43,"male",12,11.4929263546517,14,8,26,2.50189523385942,3.24758314249908,3.94202887771989
25,"male",10,15.0292113868522,10,12,0.6,3.4648025053545,4.05481363037066,4.5226877953066
40,"male",14,16.7973539029524,13,3,6,4.23213115962821,4.49062347096964,4.71249401035485
23,"male",12,18.5654964190527,12,9,4,3.87901323077316,4.32170818631129,4.67607928440937
18,"male",14,14.145140128802,12,7,2.5,3.54455193542985,4.11116396934173,4.55906602522689
30,"male",7,15.9132826449023,12,13,1,3.19772928444351,3.85253076829113,4.38443946630742
39,"male",14,17.6814251610025,14,10,6,3.86360970814084,4.31301668131456,4.67218227398345
38,"female",14,8.84071258050127,13,6,18,2.59392864995212,3.33462642390203,4.00833515444573
24,"male",12,13.2610688707519,14,8,8,3.46476960329964,4.05478995364841,4.52267224185705
27,"male",9,16.7973539029524,14,5,11,3.69730052029017,4.21280722090229,4.62038561372927
26,"female",12,14.145140128802,14,10,7,3.95219527907281,4.36157564792909,4.6922930419966
27,"male",2,8.84071258050127,14,8,5,2.57821301464917,3.31994677666767,3.99724261402867
25,"female",13,17.6814251610025,14,5,3,4.23213115962821,4.49062347096964,4.71249401035485
23,"male",10,16.7973539029524,12,11,2,3.32814459989362,3.95368398276049,4.45468601273947
24,"male",14,15.0292113868522,9,8,0.5,2.91517375967633,3.62038432637082,4.21886320779307
21,"male",13,15.0292113868522,14,9,4,3.69732270199545,4.21282133843617,4.62039362811274
29,"female",12,17.6814251610025,13,13,1,3.6972780073746,4.2127928923715,4.62037747939536
26,"male",7,11.4929263546517,14,12,7,2.01075276487912,2.72767560645647,3.50496173169665
22,"male",10,18.5654964190527,14,5,2,4.23213115962821,4.49062347096964,4.71249401035485
31,"female",13,15.9132826449023,12,9,1,4.23213115962821,4.49062347096964,4.71249401035485
23,"male",10,16.7973539029524,14,8,1,3.42693608807127,4.02734144704002,4.50451027706272
18,"male",12,16.7973539029524,12,9,0.3,3.36857328978381,3.9841594132549,4.4754695352517
30,"male",13,15.0292113868522,12,8,7,3.46479081733764,4.05480521956957,4.52268227019986
58,"male",14,18.5654964190527,14,7,0.5,4.23213115962821,4.49062347096964,4.71249401035485
44,"male",10,10.6088550966015,10,8,22,2.54614565527937,3.28976241351361,3.97432331690308
25,"male",8,17.6814251610025,13,8,1.9,4.23213115962821,4.49062347096964,4.71249401035485
23,"female",11,16.7973539029524,13,7,7,3.95233621653558,4.36165011970414,4.69232046490716
45,"male",14,18.5654964190527,10,3,14,4.23213115962821,4.49062347096964,4.71249401035485
28,"male",12,17.6814251610025,10,6,2,4.23213115962821,4.49062347096964,4.71249401035485
41,"male",8,11.4929263546517,9,5,20,3.95233621653558,4.36165011970414,4.69232046490716
25,"male",14,16.7973539029524,13,5,2,3.61713774792178,4.16054480474307,4.58967926609154
24,"male",11,15.9132826449023,13,11,2,3.08783107490735,3.7642503960024,4.32203008203367
21,"female",14,18.5654964190527,13,8,0.2,4.23213115962821,4.49062347096964,4.71249401035485
30,"male",13,15.0292113868522,13,10,2,3.95219527907281,4.36157564792909,4.6922930419966
30,"male",2,10.6088550966015,13,4,3,3.69726026805738,4.21278160189603,4.62037106965084
28,"female",11,17.6814251610025,12,11,2,3.52022732427683,4.09420110172174,4.54825904390915
40,"female",12,16.7973539029524,14,12,10,3.27453655984543,3.91260965412353,4.42636684686385
25,"male",9,15.9132826449023,13,9,2,4.23213115962821,4.49062347096964,4.71249401035485
23,"male",4,16.7973539029524,11,5,5,3.69732270199545,4.21282133843617,4.62039362811274
